time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	1.39069e-309	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.710857	0.661862	7.23085	-9.22844e-18	-5.88281e-17	radar	2.23667e-314	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1737	0.501234	7.20832	-0.185573	-0.0173015	lidar	1.39069e-309	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.27189	0.554699	7.12579	-0.00880318	0.0090162	radar	2.23667e-314	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.63163	0.581752	7.11101	0.051735	0.0386512	lidar	1.39069e-309	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.86323	0.563262	5.98127	-0.0315338	-0.362562	radar	2.23667e-314	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.17082	0.577863	5.96521	-0.0185772	-0.292547	lidar	1.39069e-309	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.3863	0.632857	5.52617	0.0257764	-0.313675	radar	2.23667e-314	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65895	0.644888	5.51837	0.0206235	-0.274407	lidar	1.39069e-309	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92384	0.645115	5.45527	-0.00205106	-0.324261	radar	2.23667e-314	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15577	0.643177	5.40261	-0.0061836	-0.28185	lidar	1.39069e-309	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44159	0.54401	5.45496	-0.142766	-0.671588	radar	2.23667e-314	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74545	0.433963	5.5438	-0.259581	-0.912518	lidar	1.39069e-309	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.0238	0.51786	5.52282	-0.124329	-0.4205	radar	2.23667e-314	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29689	0.513858	5.49883	-0.113129	-0.3421	lidar	1.39069e-309	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55339	0.559078	5.35209	-0.0618644	-0.189601	radar	2.23667e-314	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.73302	0.675371	5.13587	0.0479955	0.0634422	lidar	1.39069e-309	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.984	0.675209	5.03652	0.0403697	0.0428483	radar	2.23667e-314	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.28299	0.66761	5.12012	0.0259492	0.0110345	lidar	1.39069e-309	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.54354	0.673793	5.24789	0.0274506	0.0135204	radar	2.23667e-314	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.84031	0.686658	5.30611	0.0304171	0.016807	lidar	1.39069e-309	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.08093	0.615144	5.14341	-0.0231835	-0.0726209	radar	2.23667e-314	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33282	0.72648	5.12663	0.0504766	0.0483287	lidar	1.39069e-309	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58245	0.759365	5.08221	0.0653947	0.0671297	radar	2.23667e-314	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.82774	0.755932	5.06939	0.0566128	0.0494289	lidar	1.39069e-309	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.06862	0.740918	4.91165	0.0413185	0.0232234	radar	2.23667e-314	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.28176	0.822867	4.8598	0.0854344	0.0837295	lidar	1.39069e-309	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.58105	0.835231	5.15279	0.0823223	0.0735317	radar	2.23667e-314	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.8343	0.811704	5.14398	0.0609376	0.0394745	lidar	1.39069e-309	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.08194	0.830219	4.99885	0.0642234	0.0404181	radar	2.23667e-314	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.31761	0.845765	4.97614	0.0664426	0.0408145	lidar	1.39069e-309	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.59113	0.936583	5.23019	0.107787	0.0942148	radar	2.23667e-314	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.83227	0.994794	5.2021	0.128975	0.116349	lidar	1.39069e-309	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.1242	1.03564	5.26666	0.136531	0.118243	radar	2.23667e-314	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36416	1.06685	5.23104	0.140787	0.116287	lidar	1.39069e-309	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64497	1.14342	5.30034	0.165429	0.141163	radar	2.23667e-314	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.9234	1.2729	5.35036	0.214691	0.197156	lidar	1.39069e-309	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1678	1.36651	5.16014	0.245858	0.228029	radar	2.23667e-314	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3893	1.44432	5.11793	0.266269	0.240446	lidar	1.39069e-309	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6176	1.52819	4.92717	0.290228	0.259252	radar	2.23667e-314	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8367	1.5529	4.87892	0.281038	0.230106	lidar	1.39069e-309	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1061	1.60607	5.03128	0.27939	0.210716	radar	2.23667e-314	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3877	1.6492	5.08478	0.271939	0.186432	lidar	1.39069e-309	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6174	1.70474	5.00327	0.276553	0.18091	radar	2.23667e-314	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8452	1.76654	4.97942	0.283137	0.177711	lidar	1.39069e-309	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1041	1.86096	5.14168	0.300092	0.186688	radar	2.23667e-314	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3492	1.88483	5.11282	0.282692	0.151285	lidar	1.39069e-309	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6071	1.94737	5.21514	0.282658	0.139851	radar	2.23667e-314	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8083	2.08423	5.17118	0.327025	0.18924	lidar	1.39069e-309	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
